Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,
Comercio exterior,,,,,,,,,,,,,,,,,,,,,
Exportaciones FOB,,,,,,,,,,,,,,,,,,,,,
Unidad de medida: Millones de US dólares,,,,,,,,,,,,,,,,,,,,,
Fechas,Costa Rica,,,El Salvador,,,Guatemala,,,Honduras,,,Nicaragua,,,República Dominicana,,,Panamá,,
,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales
2016-Diciembre,819.46,427.37,392.09,402.07,79.33,322.74,974.4,312.2,662.2,611.72,280.4,331.32,337.5,167.82,169.69,755.1,422.4,332.7,791.43,735.09,56.35
2017-Enero,757.31,380.95,376.36,426.17,84.49,341.68,879,275.1,603.9,697.81,305.2,392.6,414.71,216.27,198.44,671.5,340.4,331.1,738.17,677.78,60.38
2017-Febrero,835.73,415.79,419.93,451.36,81.93,369.43,942,284.5,657.5,742.83,320.56,422.26,447.02,211.74,235.28,779.7,450.1,329.6,981.97,913.86,68.11
2017-Marzo,950.82,453.68,497.15,560.07,101.63,458.44,1086.9,335.8,751.1,808.97,377.67,431.3,538.44,231.66,306.78,962.3,545,417.3,1000.86,926.34,74.52
2017-Abril,897.85,415.89,481.96,446.37,78.77,367.6,947.1,279.7,667.4,716.02,298.87,417.15,423.46,188.39,235.07,798.7,434.5,364.2,922.14,845.03,77.11
2017-Mayo,997.5,459.75,537.76,507.98,99.68,408.3,978,296.4,681.6,819.04,355.42,463.62,459.94,216.64,243.29,943.7,529.3,414.4,1148.62,1074.55,74.07
2017-Junio,960.1,484.31,475.78,493.35,99.44,393.91,901.1,245.7,655.4,800.17,379.21,420.96,464.98,228.07,236.91,866.3,486.3,380,909.67,840.28,69.39
2017-Julio,865.86,468.16,397.7,549.81,104.25,445.56,906.2,243.7,662.5,769.41,384.05,385.36,439.33,222.77,216.56,819.8,490,329.8,927.41,858.57,68.84
2017-Agosto,862.02,444.55,417.48,478.75,88.44,390.31,890.4,246.6,643.8,717.88,378.4,339.48,433.25,235.04,198.21,874.1,528.9,345.2,865.94,791.6,74.34
2017-Setiembre,887.45,464.42,423.03,473.44,89.31,384.13,837.1,249.3,587.8,671.76,358.25,313.51,398.63,221.59,177.04,780.9,437.9,343,814.61,746.04,68.56
2017-Octubre,893.29,466.69,426.6,469.51,87.91,381.6,851.7,242.7,609,609.4,319.97,289.43,411.11,239.47,171.64,917.7,521.1,396.6,1045.53,972.6,72.94
2017-Noviembre,914.65,489.83,424.82,482.17,98.63,383.54,875.4,243.6,631.8,685.68,366.42,319.26,399.48,238.48,161,904.2,523,381.2,944.97,885.5,59.47
2017-Diciembre,808.91,405.54,403.37,421.03,84.21,336.82,887.3,266.9,620.4,585.16,237.8,347.37,356.01,187.96,168.05,815.7,423.1,392.6,961.02,900.58,60.44
2018-Enero,794.39,377.08,417.31,500.02,91.17,408.85,879.4,245,634.4,731.09,330.71,400.38,465.58,246.78,218.79,769.5,385.8,383.7,949.2,883.24,65.96
2018-Febrero,880.01,443.74,436.27,488.78,99.69,389.09,928.3,274.6,653.7,779.41,349.71,429.69,458.01,224.6,233.4,819.8,453.1,366.7,926.13,871.07,55.06
2018-Marzo,1071.61,511.11,560.5,493.67,91.24,402.43,1065.3,298.7,766.6,774.63,357.06,417.58,511.13,228,283.13,930.5,530.5,400,1102.61,1020.84,81.77
2018-Abril,940.83,445.55,495.28,519.96,92.29,427.67,943.9,278.9,665,745.07,351.19,393.88,504.95,251.04,253.9,877.3,507.1,370.2,1108.4,1032.26,76.14
2018-Mayo,1064.47,541.79,522.68,512.8,109.26,403.54,956.8,257.3,699.5,781.47,374.39,407.08,469.46,229.24,240.22,976.2,582,394.2,909.77,825.05,84.72
2018-Junio,974.16,508.09,466.06,532.4,109.04,423.36,906.9,246,660.9,741.54,363.42,378.13,384.34,193.63,190.71,916.1,533.8,382.3,1097.45,1022.64,74.81
2018-Julio,924.81,486.02,438.79,511.65,109.5,402.15,899,271.2,627.8,725.24,365.59,359.65,485.14,279.72,205.42,934.7,540,394.7,1026.71,957.44,69.27
2018-Agosto,947.66,528.28,419.38,494.59,104.97,389.62,935.6,283.1,652.5,742.15,383.24,358.91,493.29,275.43,217.85,892.8,538.9,353.9,1025.3,952.8,72.5
2018-Setiembre,883.9,487.5,396.4,464.04,92.67,371.37,837.1,263.1,574,671.55,385.9,285.65,409.52,230.12,179.4,901.1,488.4,412.7,901.91,846,55.91
