Year,Year Label,Economy,Economy Label,Mode,Mode Label,Direction,Direction Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,US dollars at current prices per capita,US dollars at current prices per capita Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Fixed Capital Formation,Percentage of Gross Fixed Capital Formation Footnote
1990,1990,92,British Virgin Islands,9,Stock,2,Outward,875.008,,56029.199,,0.038805,,729.85776,,2994.45084,
1990,1990,96,Brunei Darussalam,8,Flow,1,Inward,7,,26.725,,0.003417,,0.17945,,0.64802,
1990,1990,96,Brunei Darussalam,9,Stock,1,Inward,33.12,,126.447,,0.001508,,0.84908,,3.06606,
1990,1990,100,Bulgaria,8,Flow,1,Inward,4,,0.456,,0.001952,,0.0193,,0.09076,
1990,1990,100,Bulgaria,8,Flow,2,Outward,-2.506,,-0.286,,-0.001028,,-0.01209,,-0.05686,
1990,1990,100,Bulgaria,9,Stock,1,Inward,112.27,,12.805,,0.005112,,0.54169,,2.54736,
1990,1990,100,Bulgaria,9,Stock,2,Outward,124.443,,14.193,,0.005519,,0.60042,,2.82356,
1990,1990,104,Myanmar,8,Flow,1,Inward,225.1,,5.614,,0.109865,,3.64656,,24.75989,
1990,1990,104,Myanmar,9,Stock,1,Inward,285.19,,7.112,,0.012986,,4.62,,31.36949,
1990,1990,108,Burundi,8,Flow,1,Inward,1.255,,0.229,,0.000613,,0.10933,,0.66697,
1990,1990,108,Burundi,8,Flow,2,Outward,0.006,,0.001,,2.00E-06,,0.00051,,0.0031,
1990,1990,108,Burundi,9,Stock,1,Inward,30.188,,5.505,,0.001375,,2.62892,,16.03823,
1990,1990,108,Burundi,9,Stock,2,Outward,0.346,,0.063,,1.50E-05,,0.03013,,0.18379,
1990,1990,116,Cambodia,9,Stock,1,Inward,37.746,,4.236,,0.001719,,2.22336,,26.77011,
1990,1990,116,Cambodia,9,Stock,2,Outward,0,,0,,0,,0,,1.00E-05,
1990,1990,120,Cameroon,8,Flow,1,Inward,-112.831,,-9.871,,-0.05507,,-0.81334,,-3.97734,
1990,1990,120,Cameroon,8,Flow,2,Outward,15.096,,1.321,,0.00619,,0.10882,,0.53213,
1990,1990,120,Cameroon,9,Stock,1,Inward,360.432,,31.532,,0.016412,,2.59817,,12.70539,
1990,1990,120,Cameroon,9,Stock,2,Outward,1148.132,,100.444,,0.050917,,8.27631,,40.47217,
1990,1990,124,Canada,8,Flow,1,Inward,7582.276,,274.152,,3.700698,,1.27201,,5.86052,
1990,1990,124,Canada,8,Flow,2,Outward,5236.544,,189.337,,2.147227,,0.87848,,4.04745,
1990,1990,124,Canada,9,Stock,1,Inward,112843.23,,4080.066,,5.138106,,18.93062,,87.21923,
1990,1990,124,Canada,9,Stock,2,Outward,84807.377,,3066.376,,3.761021,,14.22732,,65.54965,
1990,1990,132,Cabo Verde,8,Flow,1,Inward,0.253,,0.693,,0.000123,,0.0721,,0.1861,
1990,1990,132,Cabo Verde,8,Flow,2,Outward,0.317,,0.869,,0.00013,,0.0904,,0.23333,
1990,1990,132,Cabo Verde,9,Stock,1,Inward,3.802,,10.429,,0.000173,,1.08524,,2.80096,
1990,1990,136,Cayman Islands,8,Flow,1,Inward,49.04,,1884.197,,0.023935,,4.00061,,29.38286,
1990,1990,136,Cayman Islands,8,Flow,2,Outward,281.553,,10817.738,,0.11545,,22.96867,,168.69577,
1990,1990,136,Cayman Islands,9,Stock,1,Inward,1749.06,,67201.752,,0.07964,,142.68554,,1047.96874,
1990,1990,136,Cayman Islands,9,Stock,2,Outward,648.26,,24907.212,,0.028749,,52.88402,,388.41218,
1990,1990,140,Central African Republic,8,Flow,1,Inward,0.698,,0.248,,0.000341,,0.04629,,0.34712,
1990,1990,140,Central African Republic,8,Flow,2,Outward,3.79,,1.349,,0.001554,,0.25145,,1.8854,
1990,1990,140,Central African Republic,9,Stock,1,Inward,95.388,,33.955,,0.004343,,6.32797,,47.44685,
1990,1990,140,Central African Republic,9,Stock,2,Outward,17.9,,6.372,,0.000794,,1.1875,,8.90386,
1990,1990,1400,Developing economies,8,Flow,1,Inward,33590.281,,8.343,,16.394484,,0.90609,,3.98431,
1990,1990,1400,Developing economies,8,Flow,2,Outward,11974.776,,3.386,,4.910216,,0.34673,,1.49324,
1990,1990,1400,Developing economies,9,Stock,1,Inward,503619.669,,124.769,,22.931381,,13.57633,,59.70191,
1990,1990,1400,Developing economies,9,Stock,2,Outward,138094.48,,38.595,,6.124186,,3.97433,,17.1736,
1990,1990,1410,Developing economies: Africa,8,Flow,1,Inward,2845.143,,4.466,,1.388635,,0.51074,,2.18643,
1990,1990,1410,Developing economies: Africa,8,Flow,2,Outward,658.276,,1.654,,0.269924,,0.14327,,0.58196,
1990,1990,1410,Developing economies: Africa,9,Stock,1,Inward,59994.672,,94.151,,2.731745,,10.76764,,46.09194,
1990,1990,1410,Developing economies: Africa,9,Stock,2,Outward,21250.396,,51.298,,0.942408,,4.49805,,18.52195,
1990,1990,1420,Developing economies: Americas,8,Flow,1,Inward,8522.81,,20.007,,4.159747,,0.75911,,3.91502,
